fecha;rk;tipo;localizacion;latitud;longitud;profundidad;especie;sexo;estado_caparazon;cirripedio;largo_caparazon;ancho_caparazon;largo_quela;ancho_quela;huevos;parasito
jul_97;160;Captura total 2 trampas;wp 150;-54.8580833;-68.03978333;24;2;1;3;;96.2;;;;;
jul_97;161;Captura total 2 trampas;wp 150;-54.8580833;-68.03978333;24;2;1;3;;85.7;;;;;
jul_97;162;Captura total 2 trampas;wp 150;-54.8580833;-68.03978333;24;2;1;3;;90.8;;;;;
jul_97;163;Captura total 2 trampas;wp 150;-54.8580833;-68.03978333;24;2;1;3;2;101.5;;;;;
jul_97;164;Captura total 2 trampas;wp 150;-54.8580833;-68.03978333;24;2;1;3;;94.1;;;;;
jul_97;165;Captura total 2 trampas;wp 150;-54.8580833;-68.03978333;24;1;2;3;;75;;;;3;
jul_97;166;Captura total 2 trampas;wp 150;-54.8580833;-68.03978333;24;2;2;3;;73.7;;;;1;
jul_97;167;Captura total 2 trampas;wp 150;-54.8580833;-68.03978333;24;2;2;3;;71.4;;;;1;
jul_97;168;Captura total 2 trampas;wp 150;-54.8580833;-68.03978333;24;2;2;3;;73;;;;1;
jul_97;169;Captura total 2 trampas;wp 150;-54.8580833;-68.03978333;24;2;2;3;;72.5;;;;1;
jul_97;170;Captura total 2 trampas;wp 150;-54.8580833;-68.03978333;24;2;2;4;2;75.5;;;;5;
jul_97;171;Captura total 2 trampas;wp 150;-54.8580833;-68.03978333;24;2;1;3;;86.4;;;;;20
jul_97;172;Captura total 2 trampas;wp 150;-54.8580833;-68.03978333;24;2;1;3;;88.1;;;;;
jul_97;173;Captura total 2 trampas;wp 150;-54.8580833;-68.03978333;24;2;2;3;;68.1;;;;1;
jul_97;174;Captura total 2 trampas;wp 150;-54.8580833;-68.03978333;24;2;2;3;;71.6;;;;1;
jul_97;175;Captura total 2 trampas;wp 150;-54.8580833;-68.03978333;24;2;2;4;2;70.8;;;;3;
jul_97;176;Captura total 2 trampas;wp 150;-54.8580833;-68.03978333;24;2;2;3;;87.4;;;;0;
jul_97;177;Captura total 2 trampas;wp 150;-54.8580833;-68.03978333;24;2;2;3;;66.7;;;;1;
